kalman_q_price,kalman_q_vel,kalman_r,entry_threshold,exit_threshold,stop_loss_pct,start_time,end_time,duration,total_bars,trade_count,initial_market_value,end_market_value,total_pnl,unrealized_pnl,total_return_pct,annualized_return,volatility,total_profit,total_loss,total_commission,max_drawdown,max_drawdown_pct,win_rate,loss_rate,winning_trades,losing_trades,avg_pnl,avg_return_pct,avg_trade_bars,avg_profit,avg_profit_pct,avg_winning_trade_bars,avg_loss,avg_loss_pct,avg_losing_trade_bars,largest_win,largest_win_pct,largest_win_bars,largest_loss,largest_loss_pct,largest_loss_bars,max_wins,max_losses,sharpe_ratio,sortino_ratio,profit_factor,ulcer_index,upi,equity_r2,std_error,calmar_ratio,exposure_time_pct,var_95,var_99,cvar_95,cvar_99,sqn,kelly_criterion,max_leverage,min_margin_level,_duration,error,total_return
0.001,1e-06,0.01,0.03,0.005,0.03,2026-01-05 00:00:00+08:00,2026-07-15 00:00:00+08:00,191 days,127.0,1.0,100000.0,111889.2776,3231.0,8833.0,11.8892776,0.2394656930631831,0.13132797589822245,3231.0,0.0,174.7224,3322.0,3.0212832873296724,100.0,0.0,1.0,0.0,3231.0,3.617857502771339,4.0,3231.0,3.617857502771339,4.0,0.0,0.0,0.0,3231.0,3.617857502771339,4.0,0.0,0.0,0.0,1.0,0.0,1.823417222608883,4.3788340197187745,inf,0.013128653571055492,18.239927785978665,0.6471349102225967,1334.5362983927348,7.925959610190416,9.523809523809524,-0.001437921,-0.01502515527236338,-0.011481047592012409,-0.02261899407283005,0.0,0.0,0.9021061013624776,1.1085170563525402,0.6043801307678223,,
0.001,1e-06,0.01,0.03,0.005,0.05,2026-01-05 00:00:00+08:00,2026-07-15 00:00:00+08:00,191 days,127.0,1.0,100000.0,111889.2776,3231.0,8833.0,11.8892776,0.2394656930631831,0.13132797589822245,3231.0,0.0,174.7224,3322.0,3.0212832873296724,100.0,0.0,1.0,0.0,3231.0,3.617857502771339,4.0,3231.0,3.617857502771339,4.0,0.0,0.0,0.0,3231.0,3.617857502771339,4.0,0.0,0.0,0.0,1.0,0.0,1.823417222608883,4.3788340197187745,inf,0.013128653571055492,18.239927785978665,0.6471349102225967,1334.5362983927348,7.925959610190416,9.523809523809524,-0.001437921,-0.01502515527236338,-0.011481047592012409,-0.02261899407283005,0.0,0.0,0.9021061013624776,1.1085170563525402,0.6057281494140625,,
0.001,1e-06,0.01,0.03,0.005,0.08,2026-01-05 00:00:00+08:00,2026-07-15 00:00:00+08:00,191 days,127.0,1.0,100000.0,111889.2776,3231.0,8833.0,11.8892776,0.2394656930631831,0.13132797589822245,3231.0,0.0,174.7224,3322.0,3.0212832873296724,100.0,0.0,1.0,0.0,3231.0,3.617857502771339,4.0,3231.0,3.617857502771339,4.0,0.0,0.0,0.0,3231.0,3.617857502771339,4.0,0.0,0.0,0.0,1.0,0.0,1.823417222608883,4.3788340197187745,inf,0.013128653571055492,18.239927785978665,0.6471349102225967,1334.5362983927348,7.925959610190416,9.523809523809524,-0.001437921,-0.01502515527236338,-0.011481047592012409,-0.02261899407283005,0.0,0.0,0.9021061013624776,1.1085170563525402,0.6161477565765381,,
0.001,1e-06,0.01,0.03,0.01,0.03,2026-01-05 00:00:00+08:00,2026-07-15 00:00:00+08:00,191 days,127.0,1.0,100000.0,110244.4187,1584.0,8833.0,10.2444187,0.20487852393281614,0.1342665509428381,1584.0,0.0,172.5813,3385.1583,3.229366925652677,100.0,0.0,1.0,0.0,1584.0,1.7736571601330242,5.0,1584.0,1.7736571601330242,5.0,0.0,0.0,0.0,1584.0,1.7736571601330242,5.0,0.0,0.0,0.0,1.0,0.0,1.5259088916348198,3.5228366941905143,inf,0.024587635000219932,8.332583590531726,0.433339683326153,1304.885098453091,6.344231815386194,10.317460317460316,-0.007321447717136422,-0.01502515527236338,-0.013698934536586797,-0.02284841228261624,0.0,0.0,0.9155656240037846,1.0922209984544662,0.7002849578857422,,
0.001,1e-06,0.01,0.03,0.01,0.05,2026-01-05 00:00:00+08:00,2026-07-15 00:00:00+08:00,191 days,127.0,1.0,100000.0,110244.4187,1584.0,8833.0,10.2444187,0.20487852393281614,0.1342665509428381,1584.0,0.0,172.5813,3385.1583,3.229366925652677,100.0,0.0,1.0,0.0,1584.0,1.7736571601330242,5.0,1584.0,1.7736571601330242,5.0,0.0,0.0,0.0,1584.0,1.7736571601330242,5.0,0.0,0.0,0.0,1.0,0.0,1.5259088916348198,3.5228366941905143,inf,0.024587635000219932,8.332583590531726,0.433339683326153,1304.885098453091,6.344231815386194,10.317460317460316,-0.007321447717136422,-0.01502515527236338,-0.013698934536586797,-0.02284841228261624,0.0,0.0,0.9155656240037846,1.0922209984544662,0.776087760925293,,
0.001,1e-06,0.01,0.03,0.01,0.08,2026-01-05 00:00:00+08:00,2026-07-15 00:00:00+08:00,191 days,127.0,1.0,100000.0,110244.4187,1584.0,8833.0,10.2444187,0.20487852393281614,0.1342665509428381,1584.0,0.0,172.5813,3385.1583,3.229366925652677,100.0,0.0,1.0,0.0,1584.0,1.7736571601330242,5.0,1584.0,1.7736571601330242,5.0,0.0,0.0,0.0,1584.0,1.7736571601330242,5.0,0.0,0.0,0.0,1.0,0.0,1.5259088916348198,3.5228366941905143,inf,0.024587635000219932,8.332583590531726,0.433339683326153,1304.885098453091,6.344231815386194,10.317460317460316,-0.007321447717136422,-0.01502515527236338,-0.013698934536586797,-0.02284841228261624,0.0,0.0,0.9155656240037846,1.0922209984544662,0.6990494728088379,,
0.0001,1e-06,0.001,0.02,0.005,0.03,2026-01-05 00:00:00+08:00,2026-07-15 00:00:00+08:00,191 days,127.0,3.0,100000.0,108372.6086,9.0,8833.0,8.372608600000001,0.16608721494707224,0.14550561709454568,3231.0,-3222.0,469.3914,5926.6305,5.626079776643143,33.33333333333333,66.66666666666666,1.0,2.0,3.0,0.0640146044031621,3.6666666666666665,3231.0,3.617857502771339,4.0,-1611.0,-1.7129068447809266,3.5,3231.0,3.617857502771339,4.0,-3141.0,-3.338435048785154,2.0,1.0,2.0,1.1414488200765005,2.3499171412477895,1.0027932960893855,0.03292452099126734,5.044483866329415,0.031311894372528126,1866.236307824109,2.9520949140570103,15.079365079365079,-0.009834967836088438,-0.019788514710566894,-0.016913542494546904,-0.02549979028091633,0.0019969562955613816,0.0009285051067779992,0.931379259980275,1.0736764742014742,0.6825034618377686,,
0.0001,1e-06,0.001,0.02,0.005,0.05,2026-01-05 00:00:00+08:00,2026-07-15 00:00:00+08:00,191 days,127.0,3.0,100000.0,108372.6086,9.0,8833.0,8.372608600000001,0.16608721494707224,0.14550561709454568,3231.0,-3222.0,469.3914,5926.6305,5.626079776643143,33.33333333333333,66.66666666666666,1.0,2.0,3.0,0.0640146044031621,3.6666666666666665,3231.0,3.617857502771339,4.0,-1611.0,-1.7129068447809266,3.5,3231.0,3.617857502771339,4.0,-3141.0,-3.338435048785154,2.0,1.0,2.0,1.1414488200765005,2.3499171412477895,1.0027932960893855,0.03292452099126734,5.044483866329415,0.031311894372528126,1866.236307824109,2.9520949140570103,15.079365079365079,-0.009834967836088438,-0.019788514710566894,-0.016913542494546904,-0.02549979028091633,0.0019969562955613816,0.0009285051067779992,0.931379259980275,1.0736764742014742,0.5877060890197754,,
0.0001,1e-06,0.001,0.02,0.005,0.08,2026-01-05 00:00:00+08:00,2026-07-15 00:00:00+08:00,191 days,127.0,3.0,100000.0,108372.6086,9.0,8833.0,8.372608600000001,0.16608721494707224,0.14550561709454568,3231.0,-3222.0,469.3914,5926.6305,5.626079776643143,33.33333333333333,66.66666666666666,1.0,2.0,3.0,0.0640146044031621,3.6666666666666665,3231.0,3.617857502771339,4.0,-1611.0,-1.7129068447809266,3.5,3231.0,3.617857502771339,4.0,-3141.0,-3.338435048785154,2.0,1.0,2.0,1.1414488200765005,2.3499171412477895,1.0027932960893855,0.03292452099126734,5.044483866329415,0.031311894372528126,1866.236307824109,2.9520949140570103,15.079365079365079,-0.009834967836088438,-0.019788514710566894,-0.016913542494546904,-0.02549979028091633,0.0019969562955613816,0.0009285051067779992,0.931379259980275,1.0736764742014742,0.620119571685791,,
0.0001,1e-06,0.001,0.03,0.005,0.03,2026-01-05 00:00:00+08:00,2026-07-15 00:00:00+08:00,191 days,127.0,3.0,100000.0,108372.6086,9.0,8833.0,8.372608600000001,0.16608721494707224,0.14550561709454568,3231.0,-3222.0,469.3914,5926.6305,5.626079776643143,33.33333333333333,66.66666666666666,1.0,2.0,3.0,0.0640146044031621,3.6666666666666665,3231.0,3.617857502771339,4.0,-1611.0,-1.7129068447809266,3.5,3231.0,3.617857502771339,4.0,-3141.0,-3.338435048785154,2.0,1.0,2.0,1.1414488200765005,2.3499171412477895,1.0027932960893855,0.03292452099126734,5.044483866329415,0.031311894372528126,1866.236307824109,2.9520949140570103,15.079365079365079,-0.009834967836088438,-0.019788514710566894,-0.016913542494546904,-0.02549979028091633,0.0019969562955613816,0.0009285051067779992,0.931379259980275,1.0736764742014742,0.5838732719421387,,
